# company_name, crawler_url
'株式会社関東ビューティサービス', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46780672/'
'株式会社ブリリアント', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_10/46719208/'
'株式会社 Neolive', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_12/46725149/'
'ＶＩＤＡ合同会社', 'https://toranet.jp/salon_p/jb_1903/ped_01/la_12/46787662/'
'株式会社オムニ', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_10/46714176/'
'株式会社そわか', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46752584/'
'株式会社総合スター 美容部門', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_10/46699670/'
'CLAILSALON LIR(クレールサロン リル)', 'https://toranet.jp/beauty_p/jb_1907/ped_01/la_14/46784274/'
'ＴwinkleＢeauty(トゥインクルビューティー)', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_13/46521385/'
'GRACIA【株式会社Be.RMY(ビー･ラミィ)】', 'https://toranet.jp/beauty_p/jb_1907/ped_01/la_10/46919343/'
'hair＆nail　lead　(リード)', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_10/46551813/'
'株式会社メイシー', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_14/46349517/'
'AOE株式会社', 'https://toranet.jp/beauty_p/jb_1913/ped_01/la_10/46271192/'
'有限会社セレスト　[eco\'s cut(エコズカット)]', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46794755/'
'株式会社アートネイチャー', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46748084/'
'ディチャーム株式会社', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46786752/'
'写真館ピノキオ', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_10/46789680/'
'スパイスモード株式会社(SPICE MODE)', 'https://toranet.jp/salon_p/jb_1903/ped_01/la_11/46444744/'
'キュービーネットホールディングス株式会社', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46456994/'
'スパイスモード株式会社', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46735375/'
'株式会社毛髪クリニック　リーブ21', 'https://toranet.jp/salon_p/jb_1906/ped_01/la_14/46810945/'
'学校法人　三幸学園', 'https://toranet.jp/salon_p/jb_1906/ped_01/la_13/46442117/'
'株式会社ＤＯＲＡＣＯ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_11/46897009/'
'株式会社グローウィング', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46722645/'
'Cut Line（カットライン）', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_12/46780280/'
'株式会社Dwell(デュエル)', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_14/46665892/'
'株式会社アウローラ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46543568/'
'株式会社オータニコーポレーション', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46803444/'
'株式会社スリーエヌ', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46472039/'
'株式会社amis', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46742791/'
'美容室ハッピー　常盤平店', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_14/46680855/'
'有限会社ボックスクラブ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46795596/'
'株式会社東京天竜', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_14/46920500/'
'ケアパートナー株式会社', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46679867/'
'株式会社　ナチュラル', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46874111/'
'株式会社　ナチュラル', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46717440/'
'株式会社セントメディア', 'https://toranet.jp/care_p/jb_2022/ped_01/la_13/46686780/'
'医療法人社団　大坪会　北多摩病院', 'https://toranet.jp/care_p/jb_2022/ped_01/la_11/46817870/'
'株式会社セントメディア', 'https://toranet.jp/care_p/jb_2022/ped_01/la_12/46806545/'
'株式会社　ナチュラル', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46740568/'
'学校法人健友学園　足立つくし幼稚園', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46239928/'
'ママズ株式会社', 'https://toranet.jp/care_p/jb_2020/ped_01/la_10/46790032/'
'社会福祉法人　明王会', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46727795/'
'株式会社ディアローグ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46601547/'
'グループホーム希望（のぞみ）', 'https://toranet.jp/care_p/jb_2025/ped_01/la_12/46674791/'
'株式会社やさしい手', 'https://toranet.jp/care_p/jb_2025/ped_01/la_12/46811774/'
'株式会社オリーブスパ', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46581928/'
'株式会社メディビューティー', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46761774/'
'株式会社ジェイファムコーポレーション', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46161887/'
'株式会社ビューティースリー', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46899794/'
'全国42店舗の脱毛サロン【ラ･ヴォーグ】', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46813562/'
'株式会社セドナエンタープライズ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_13/46835713/'
'アリシアクリニック', 'https://toranet.jp/office_p/jb_1002/ped_01/la_10/46846113/'
'株式会社 神美(Ｓhinbi)', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46723758/'
'株式会社Passion', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46813688/'
'株式会社グラツィア', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46717499/'
'表参道スキンクリニック', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46788587/'
'株式会社ヴィエリス', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46782051/'
'全国42店舗の脱毛サロン【ラ･ヴォーグ】', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46813159/'
'株式会社ミュゼプラチナム', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46794458/'
'株式会社若天', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46815867/'
'株式会社DiANa', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46697557/'
'株式会社セントロイスコーポレーション', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_14/46614494/'
'フットセラピー株式会社', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46855232/'
'ＴＳＣホリスティック株式会社', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_14/46823298/'
'株式会社さくら', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46927708/'
'株式会社リクルートスタッフィング', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46894587/'
'ニッセイ･ビジネス･サービス株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46829904/'
